date	ouv	haut	bas	clot	vol	devise	
09/04/2020 00:00	195.37	195.37	195.37	195.37	0	EUR	
14/04/2020 00:00	197.32	197.32	197.32	197.32	0	EUR	
15/04/2020 00:00	190.89	190.89	190.89	190.89	0	EUR	
16/04/2020 00:00	191.78	191.78	191.78	191.78	0	EUR	
17/04/2020 00:00	196.52	196.52	196.52	196.52	0	EUR	
20/04/2020 00:00	197.21	197.21	197.21	197.21	0	EUR	
21/04/2020 00:00	192.48	192.48	192.48	192.48	0	EUR	
22/04/2020 00:00	193.85	193.85	193.85	193.85	0	EUR	
23/04/2020 00:00	195.69	195.69	195.69	195.69	0	EUR	
24/04/2020 00:00	194.44	194.44	194.44	194.44	0	EUR	
27/04/2020 00:00	197.7	197.7	197.7	197.7	0	EUR	
28/04/2020 00:00	199.42	199.42	199.42	199.42	0	EUR	
29/04/2020 00:00	202.28	202.28	202.28	202.28	0	EUR	
30/04/2020 00:00	200.95	200.95	200.95	200.95	0	EUR	
04/05/2020 00:00	194.7	194.7	194.7	194.7	0	EUR	
05/05/2020 00:00	198.35	198.35	198.35	198.35	0	EUR	
06/05/2020 00:00	197.93	197.93	197.93	197.93	0	EUR	
07/05/2020 00:00	200.38	200.38	200.38	200.38	0	EUR	
11/05/2020 00:00	201.66	201.66	201.66	201.66	0	EUR	
12/05/2020 00:00	200.9	200.9	200.9	200.9	0	EUR	
14/05/2020 00:00	194.62	194.62	194.62	194.62	0	EUR	
15/05/2020 00:00	195.97	195.97	195.97	195.97	0	EUR	
18/05/2020 00:00	202.63	202.63	202.63	202.63	0	EUR	
19/05/2020 00:00	200.73	200.73	200.73	200.73	0	EUR	
20/05/2020 00:00	203.14	203.14	203.14	203.14	0	EUR	
22/05/2020 00:00	202.76	202.76	202.76	202.76	0	EUR	
25/05/2020 00:00	206.66	206.66	206.66	206.66	0	EUR	
26/05/2020 00:00	207.32	207.32	207.32	207.32	0	EUR	
27/05/2020 00:00	207.35	207.35	207.35	207.35	0	EUR	
28/05/2020 00:00	211.43	211.43	211.43	211.43	0	EUR	
29/05/2020 00:00	210.6	210.6	210.6	210.6	0	EUR	
02/06/2020 00:00	214.36	214.36	214.36	214.36	0	EUR	
03/06/2020 00:00	218.41	218.41	218.41	218.41	0	EUR	
04/06/2020 00:00	217.88	217.88	217.88	217.88	0	EUR	
05/06/2020 00:00	220.79	220.79	220.79	220.79	0	EUR	
08/06/2020 00:00	219.47	219.47	219.47	219.47	0	EUR	
09/06/2020 00:00	217.93	217.93	217.93	217.93	0	EUR	
10/06/2020 00:00	217.3	217.3	217.3	217.3	0	EUR	
11/06/2020 00:00	210.18	210.18	210.18	210.18	0	EUR	
12/06/2020 00:00	210.55	210.55	210.55	210.55	0	EUR	
15/06/2020 00:00	210.16	210.16	210.16	210.16	0	EUR	
16/06/2020 00:00	214.08	214.08	214.08	214.08	0	EUR	
17/06/2020 00:00	215.83	215.83	215.83	215.83	0	EUR	
18/06/2020 00:00	214.85	214.85	214.85	214.85	0	EUR	
19/06/2020 00:00	214.98	214.98	214.98	214.98	0	EUR	
22/06/2020 00:00	213.79	213.79	213.79	213.79	0	EUR	
24/06/2020 00:00	211.66	211.66	211.66	211.66	0	EUR	
25/06/2020 00:00	214.19	214.19	214.19	214.19	0	EUR	
26/06/2020 00:00	213.81	213.81	213.81	213.81	0	EUR	
29/06/2020 00:00	214.6	214.6	214.6	214.6	0	EUR	
30/06/2020 00:00	215	215	215	215	0	EUR	
01/07/2020 00:00	215.3	215.3	215.3	215.3	0	EUR	
02/07/2020 00:00	218.8	218.8	218.8	218.8	0	EUR	
03/07/2020 00:00	217.72	217.72	217.72	217.72	0	EUR	
06/07/2020 00:00	220.24	220.24	220.24	220.24	0	EUR	
07/07/2020 00:00	220.04	220.04	220.04	220.04	0	EUR	
08/07/2020 00:00	218.01	218.01	218.01	218.01	0	EUR	
09/07/2020 00:00	217.55	217.55	217.55	217.55	0	EUR	
10/07/2020 00:00	218.64	218.64	218.64	218.64	0	EUR	
13/07/2020 00:00	220.54	220.54	220.54	220.54	0	EUR	
15/07/2020 00:00	220.97	220.97	220.97	220.97	0	EUR	
16/07/2020 00:00	219.91	219.91	219.91	219.91	0	EUR	
17/07/2020 00:00	220.56	220.56	220.56	220.56	0	EUR	
20/07/2020 00:00	222.53	222.53	222.53	222.53	0	EUR	
21/07/2020 00:00	222.62	222.62	222.62	222.62	0	EUR	
22/07/2020 00:00	222.3	222.3	222.3	222.3	0	EUR	
23/07/2020 00:00	223.01	223.01	223.01	223.01	0	EUR	
24/07/2020 00:00	219.62	219.62	219.62	219.62	0	EUR	
27/07/2020 00:00	219.85	219.85	219.85	219.85	0	EUR	
28/07/2020 00:00	219.24	219.24	219.24	219.24	0	EUR	
29/07/2020 00:00	220.41	220.41	220.41	220.41	0	EUR	
30/07/2020 00:00	216.98	216.98	216.98	216.98	0	EUR	
31/07/2020 00:00	215.86	215.86	215.86	215.86	0	EUR	
03/08/2020 00:00	218.09	218.09	218.09	218.09	0	EUR	
04/08/2020 00:00	217.03	217.03	217.03	217.03	0	EUR	
05/08/2020 00:00	218.57	218.57	218.57	218.57	0	EUR	
06/08/2020 00:00	218.42	218.42	218.42	218.42	0	EUR	
07/08/2020 00:00	219.42	219.42	219.42	219.42	0	EUR	
10/08/2020 00:00	218.93	218.93	218.93	218.93	0	EUR	
11/08/2020 00:00	222.08	222.08	222.08	222.08	0	EUR	
12/08/2020 00:00	223.91	223.91	223.91	223.91	0	EUR	
13/08/2020 00:00	224.34	224.34	224.34	224.34	0	EUR	
14/08/2020 00:00	221.46	221.46	221.46	221.46	0	EUR	
17/08/2020 00:00	222.48	222.48	222.48	222.48	0	EUR	
18/08/2020 00:00	221.82	221.82	221.82	221.82	0	EUR	
19/08/2020 00:00	222.32	222.32	222.32	222.32	0	EUR	
20/08/2020 00:00	220.82	220.82	220.82	220.82	0	EUR	
21/08/2020 00:00	221.35	221.35	221.35	221.35	0	EUR	
24/08/2020 00:00	223.8	223.8	223.8	223.8	0	EUR	
25/08/2020 00:00	224.32	224.32	224.32	224.32	0	EUR	
26/08/2020 00:00	226.48	226.48	226.48	226.48	0	EUR	
27/08/2020 00:00	224.67	224.67	224.67	224.67	0	EUR	
28/08/2020 00:00	224.38	224.38	224.38	224.38	0	EUR	
31/08/2020 00:00	223.65	223.65	223.65	223.65	0	EUR	
01/09/2020 00:00	224.13	224.13	224.13	224.13	0	EUR	
02/09/2020 00:00	228.2	228.2	228.2	228.2	0	EUR	
03/09/2020 00:00	224.69	224.69	224.69	224.69	0	EUR	
04/09/2020 00:00	221.06	221.06	221.06	221.06	0	EUR	
07/09/2020 00:00	224.76	224.76	224.76	224.76	0	EUR	
08/09/2020 00:00	222.35	222.35	222.35	222.35	0	EUR	
09/09/2020 00:00	224.93	224.93	224.93	224.93	0	EUR	
10/09/2020 00:00	224.75	224.75	224.75	224.75	0	EUR	
11/09/2020 00:00	225.18	225.18	225.18	225.18	0	EUR	
14/09/2020 00:00	226.25	226.25	226.25	226.25	0	EUR	
15/09/2020 00:00	227.52	227.52	227.52	227.52	0	EUR	
16/09/2020 00:00	227.75	227.75	227.75	227.75	0	EUR	
17/09/2020 00:00	226.37	226.37	226.37	226.37	0	EUR	
18/09/2020 00:00	225.92	225.92	225.92	225.92	0	EUR	
21/09/2020 00:00	220.34	220.34	220.34	220.34	0	EUR	
22/09/2020 00:00	220.16	220.16	220.16	220.16	0	EUR	
23/09/2020 00:00	220.62	220.62	220.62	220.62	0	EUR	
24/09/2020 00:00	218.17	218.17	218.17	218.17	0	EUR	
25/09/2020 00:00	217.42	217.42	217.42	217.42	0	EUR	
28/09/2020 00:00	221.37	221.37	221.37	221.37	0	EUR	
29/09/2020 00:00	222.26	222.26	222.26	222.26	0	EUR	
30/09/2020 00:00	221.71	221.71	221.71	221.71	0	EUR	
01/10/2020 00:00	223.18	223.18	223.18	223.18	0	EUR	
02/10/2020 00:00	222.22	222.22	222.22	222.22	0	EUR	
05/10/2020 00:00	223.73	223.73	223.73	223.73	0	EUR	
06/10/2020 00:00	223.35	223.35	223.35	223.35	0	EUR	
07/10/2020 00:00	223.43	223.43	223.43	223.43	0	EUR	
08/10/2020 00:00	225.36	225.36	225.36	225.36	0	EUR	
